Month_Index,NAD_per_USD
1,18.5
2,18.52
3,18.54
4,18.56
5,18.58
6,18.6
7,18.62
8,18.64
9,18.66
10,18.68
11,18.7
12,18.72
13,18.85
14,18.87
15,18.89
16,18.91
17,18.93
18,18.95
19,18.97
20,18.99
21,19.01
22,19.03
23,19.05
24,19.07
25,19.2
26,19.22
27,19.24
28,19.26
29,19.28
30,19.3
31,19.32
32,19.34
33,19.36
34,19.38
35,19.4
36,19.42
37,19.55
38,19.57
39,19.59
40,19.61
41,19.63
42,19.65
43,19.67
44,19.69
45,19.71
46,19.73
47,19.75
48,19.77
49,19.9
50,19.92
51,19.94
52,19.96
53,19.98
54,20.0
55,20.02
56,20.04
57,20.06
58,20.08
59,20.1
60,20.12
