Month_Index,CFO_NAD_000,CFI_NAD_000,CFF_NAD_000,Net_Cash_Flow_NAD_000,Closing_Cash_NAD_000,CFO_USD_000,CFI_USD_000,CFF_USD_000,Net_Cash_Flow_USD_000,Closing_Cash_USD_000
1,-1472.6388888888891,3372.0,0.0,1899.3611111111109,11149.361111111111,-79.60210210210212,182.27027027027026,0.0,102.66816816816815,602.6681681681682
2,-363.7500000000001,8050.0,0.0,7686.25,18835.61111111111,-19.64092872570195,434.6652267818575,0.0,415.02429805615554,1017.0416366690664
3,-1029.0833333333335,0.0,0.0,-1029.0833333333335,17806.527777777777,-55.50611290902554,0.0,0.0,-55.50611290902554,960.4383914658996
4,-1029.0833333333335,1800.0,0.0,770.9166666666665,18577.444444444445,-55.44630028735634,96.98275862068967,0.0,41.53645833333333,1000.9398946360154
5,-1029.0833333333335,2000.0,0.0,970.9166666666665,19548.36111111111,-55.38661643344099,107.64262648008612,0.0,52.25601004664514,1052.1184666905872
6,-1029.0833333333335,4500.0,0.0,3470.9166666666665,23019.277777777774,-55.327060931899645,241.93548387096772,0.0,186.60842293906808,1237.5955794504177
7,-1029.0833333333335,1580.0,0.0,550.9166666666665,23570.19444444444,-55.26763336913714,84.85499462943072,0.0,29.58736126029358,1265.8536221506145
8,-1029.0833333333335,1316.0,0.0,286.9166666666665,23857.11111111111,-55.20833333333334,70.60085836909872,0.0,15.39252503576537,1279.8879351454457
9,-1029.0833333333335,0.0,0.0,-1029.0833333333335,22828.027777777774,-55.14916041443374,0.0,0.0,-55.14916041443374,1223.3669763010596
10,-1029.0833333333335,0.0,0.0,-1029.0833333333335,21798.944444444438,-55.09011420413991,0.0,0.0,-55.09011420413991,1166.9670473471326
11,-1029.0833333333335,0.0,0.0,-1029.0833333333335,20769.861111111106,-55.031194295900185,0.0,0.0,-55.031194295900185,1110.6877599524655
12,-798.4166666666667,0.0,0.0,-798.4166666666667,19971.444444444438,-42.65046296296297,0.0,0.0,-42.65046296296297,1066.8506647673312
13,-706.8333333333333,0.0,0.0,-706.8333333333333,19264.611111111106,-37.497789566755074,0.0,0.0,-37.497789566755074,1021.9952844090772
14,-1052.8333333333333,0.0,0.0,-1052.8333333333333,18211.777777777774,-55.79402932344108,0.0,0.0,-55.79402932344108,965.118059235706
15,-706.8333333333333,0.0,0.0,-706.8333333333333,17504.944444444438,-37.418387153696834,0.0,0.0,-37.418387153696834,926.6778424798538
16,-706.8333333333333,0.0,0.0,-706.8333333333333,16798.111111111106,-37.378811916093774,0.0,0.0,-37.378811916093774,888.3189376579114
17,-706.8333333333333,0.0,0.0,-706.8333333333333,16091.277777777772,-37.33932030287022,0.0,0.0,-37.33932030287022,850.0410870458411
18,-706.8333333333333,0.0,0.0,-706.8333333333333,15384.444444444438,-37.29991204925241,0.0,0.0,-37.29991204925241,811.8440340076221
19,-706.8333333333333,0.0,0.0,-706.8333333333333,14677.611111111106,-37.2605868915832,0.0,0.0,-37.2605868915832,773.7275229895154
20,-706.8333333333333,0.0,0.0,-706.8333333333333,13970.777777777774,-37.22134456731613,0.0,0.0,-37.22134456731613,735.6912995143641
21,-706.8333333333333,0.0,0.0,-706.8333333333333,13263.94444444444,-37.182184815009634,0.0,0.0,-37.182184815009634,697.7351101759305
22,-706.8333333333333,0.0,0.0,-706.8333333333333,12557.111111111106,-37.14310737432124,0.0,0.0,-37.14310737432124,659.8587026332688
23,-706.8333333333333,0.0,0.0,-706.8333333333333,11850.277777777774,-37.10411198600175,0.0,0.0,-37.10411198600175,622.0618256051324
24,-709.7777777777777,0.0,0.0,-709.7777777777777,11140.499999999996,-37.219600302977334,0.0,0.0,-37.219600302977334,584.1898269533297
25,-740.4166666666667,0.0,0.0,-740.4166666666667,10400.083333333328,-38.563368055555564,0.0,0.0,-38.563368055555564,541.6710069444442
26,-736.0,0.0,0.0,-736.0,9664.083333333328,-38.293444328824144,0.0,0.0,-38.293444328824144,502.81390912244166
27,-740.4166666666667,0.0,0.0,-740.4166666666667,8923.666666666662,-38.48319473319474,0.0,0.0,-38.48319473319474,463.80803880803865
28,-740.4166666666667,0.0,0.0,-740.4166666666667,8183.249999999995,-38.44323295257875,0.0,0.0,-38.44323295257875,424.8831775700932
29,-740.4166666666667,0.0,0.0,-740.4166666666667,7442.8333333333285,-38.4033540802213,0.0,0.0,-38.4033540802213,386.03907330567057
30,-740.4166666666667,0.0,0.0,-740.4166666666667,6702.416666666662,-38.36355785837652,0.0,0.0,-38.36355785837652,347.2754749568219
31,-740.4166666666667,0.0,0.0,-740.4166666666667,5961.999999999995,-38.32384403036577,0.0,0.0,-38.32384403036577,308.59213250517575
32,-740.4166666666667,0.0,0.0,-740.4166666666667,5221.5833333333285,-38.28421234057222,0.0,0.0,-38.28421234057222,269.98879696656303
33,-740.4166666666667,0.0,0.0,-740.4166666666667,4481.1666666666615,-38.244662534435264,0.0,0.0,-38.244662534435264,231.46522038567468
34,-740.4166666666667,0.0,0.0,-740.4166666666667,3740.7499999999945,-38.20519435844514,0.0,0.0,-38.20519435844514,193.0211558307531
35,-740.4166666666667,0.0,0.0,-740.4166666666667,3000.3333333333276,-38.165807560137466,0.0,0.0,-38.165807560137466,154.65635738831585
36,-743.4722222222223,0.0,0.0,-743.4722222222223,2256.861111111105,-38.283842544913604,0.0,0.0,-38.283842544913604,116.21323950108675
37,-763.4166666666666,0.0,0.0,-763.4166666666666,1493.444444444438,-39.04944586530264,0.0,0.0,-39.04944586530264,76.39102017618609
38,-758.8333333333333,0.0,0.0,-758.8333333333333,734.611111111104,-38.77533639925055,0.0,0.0,-38.77533639925055,37.537614262192335
39,-763.4166666666666,0.0,0.0,-763.4166666666666,-28.805555555562023,-38.969712438318865,0.0,0.0,-38.969712438318865,-1.4704214168229721
40,-763.4166666666666,0.0,0.0,-763.4166666666666,-792.2222222222281,-38.929967703552606,0.0,0.0,-38.929967703552606,-40.39888945549353
41,-763.4166666666666,0.0,0.0,-763.4166666666666,-1555.6388888888941,-38.890303956529124,0.0,0.0,-38.890303956529124,-79.24803305598034
42,-763.4166666666666,0.0,0.0,-763.4166666666666,-2319.05555555556,-38.85072094995759,0.0,0.0,-38.85072094995759,-118.01809443030841
43,-763.4166666666666,0.0,0.0,-763.4166666666666,-3082.4722222222263,-38.81121843755295,0.0,0.0,-38.81121843755295,-156.7093148054004
44,-763.4166666666666,0.0,0.0,-763.4166666666666,-3845.8888888888923,-38.771796174030804,0.0,0.0,-38.771796174030804,-195.32193442807983
45,-763.4166666666666,0.0,0.0,-763.4166666666666,-4609.305555555558,-38.73245391510231,0.0,0.0,-38.73245391510231,-233.85619257004353
46,-763.4166666666666,0.0,0.0,-763.4166666666666,-5372.722222222224,-38.693191417469166,0.0,0.0,-38.693191417469166,-272.3123275328041
47,-763.4166666666666,0.0,0.0,-763.4166666666666,-6136.1388888888905,-38.654008438818565,0.0,0.0,-38.654008438818565,-310.69057665260203
48,-766.6388888888889,0.0,0.0,-766.6388888888889,-6902.777777777779,-38.777890181532065,0.0,0.0,-38.777890181532065,-349.15416174900247
49,-787.9166666666667,0.0,0.0,-787.9166666666667,-7690.694444444445,-39.593802345058634,0.0,0.0,-39.593802345058634,-386.46705750977117
50,-783.0833333333334,0.0,0.0,-783.0833333333334,-8473.777777777777,-39.31141231593039,0.0,0.0,-39.31141231593039,-425.3904506916555
51,-787.9166666666667,0.0,0.0,-787.9166666666667,-9261.694444444445,-39.5143764627215,0.0,0.0,-39.5143764627215,-464.47815669229914
52,-787.9166666666667,0.0,0.0,-787.9166666666667,-10049.611111111113,-39.4747828991316,0.0,0.0,-39.4747828991316,-503.48753061678923
53,-787.9166666666667,0.0,0.0,-787.9166666666667,-10837.527777777781,-39.43526860193527,0.0,0.0,-39.43526860193527,-542.4188076965856
54,-787.9166666666667,0.0,0.0,-787.9166666666667,-11625.444444444449,-39.395833333333336,0.0,0.0,-39.395833333333336,-581.2722222222225
55,-787.9166666666667,0.0,0.0,-787.9166666666667,-12413.361111111117,-39.35647685647686,0.0,0.0,-39.35647685647686,-620.0480075480078
56,-787.9166666666667,0.0,0.0,-787.9166666666667,-13201.277777777785,-39.317198935462415,0.0,0.0,-39.317198935462415,-658.7463960966959
57,-787.9166666666667,0.0,0.0,-787.9166666666667,-13989.194444444453,-39.27799933532736,0.0,0.0,-39.27799933532736,-697.3676193641303
58,-787.9166666666667,0.0,0.0,-787.9166666666667,-14777.11111111112,-39.23887782204516,0.0,0.0,-39.23887782204516,-735.9119079238607
59,-787.9166666666667,0.0,0.0,-787.9166666666667,-15565.027777777788,-39.19983416252073,0.0,0.0,-39.19983416252073,-774.3794914317307
60,-565.8055555555557,0.0,0.0,-565.8055555555557,-16130.833333333343,-28.121548486856643,0.0,0.0,-28.121548486856643,-801.7312789927108
